"G","guard","guards"
"F","forward","forwards"
"C","center","centers"
"F-G","forward guard","forward/guard","wing"
"G-F","guard forward","guard/forward","wing"
"F-C","forward center","forward/center","big"
"C-F","center forward","center/forward","big"
