"Paul Noel","P. Noel"
"Andy Phillip","A. Phillip"
"Red Rocha","R. Rocha"
"Ben Schadler","B. Schadler"
"Gene Stump","G. Stump"
"Jack Toomay","J. Toomay"
"Gene Vance","G. Vance"
"Jack Hewson","J. Hewson"
"Paul Seymour","P. Seymour"
"Jack Rocker","J. Rocker"
"Lee Robbins","L. Robbins"
"Bob Hubbard","B. Hubbard"
"Bob O'Brien","B. O'Brien"
"Johnny Ezersky","J. Ezersky"
"Sid Tanenbaum","S. Tanenbaum"
"Nat Hickey","N. Hickey"
"Bill Downey","B. Downey"
"Mel Thurston","M. Thurston"
"Gene Rock","G. Rock"
"Red Klotz","R. Klotz"
"Charlie Black","C. Black"
"Price Brookfield","P. Brookfield"
"Lonnie Eggleston","L. Eggleston"
"George Glamack","G. Glamack"
"Bruce Hale","B. Hale"
"Andy Kostecka","A. Kostecka"
"Freddie Lewis","F. Lewis"
"Ray Lumpp","R. Lumpp"
"Fritz Nagy","F. Nagy"
"Easy Parham","E. Parham"
"Hal Tidrick","H. Tidrick"
"Dick Wehr","D. Wehr"
"D.C. Wilcutt","D. Wilcutt"
"Curly Armstrong","C. Armstrong"
"Phil Farbman","P. Farbman"
"Ralph Hamilton","R. Hamilton"
"Bob Kinney","B. Kinney"
"Leo Klier","L. Klier"
"Mel McGaha","M. McGaha"
"Richie Niemiera","R. Niemiera"
"Jake Pelkington","J. Pelkington"
"Roy Pugh","R. Pugh"
"Tex Ritter","T. Ritter"
"Jack Smiley","J. Smiley"
"Bob Tough","B. Tough"
"Blackie Towery","B. Towery"
"Dick Triptow","D. Triptow"
"Matt Zunic","M. Zunic"
"Johnny Bach","J. Bach"
"Gale Bishop","G. Bishop"
"Darrel Brown","D. Brown"
"Walt Budko","W. Budko"
"Jack Dwan","J. Dwan"
"Earl Gardner","E. Gardner"
"John Hazen","J. Hazen"
"Leo Katkaveck","L. Katkaveck"
"Dan Kraus","D. Kraus"
"Herb Krautblatt","H. Krautblatt"
"George Mikan","G. Mikan"
"Fred Paine","F. Paine"
"Jim Pollard","J. Pollard"
"Les Pugh","L. Pugh"
"Howie Rader","H. Rader"
"Herm Schaefer","H. Schaefer"
"Howie Shannon","H. Shannon"
"Don Smith","D. Smith"
"Andy Tonkovich","A. Tonkovich"
"Brady Walker","B. Walker"
"John Mandic","J. Mandic"
"Dick Shrider","D. Shrider"
"Bill Calhoun","B. Calhoun"
"Fran Curran","F. Curran"
"Bob Davies","B. Davies"
"Andy Duncan","A. Duncan"
"Joe Graboski","J. Graboski"
"Red Holzman","R. Holzman"
"Arnie Johnson","A. Johnson"
"Whitey Kachan","W. Kachan"
"Walt Kirk","W. Kirk"
"Andrew Levane","A. Levane"
"Lionel Malamed","L. Malamed"
"Ed Mikan","Ed Mikan"
"Mike Novak","M. Novak"
"Arnie Risen","A. Risen"
"Bill Roberts","B. Roberts"
"Kenny Rollins","K. Rollins"
"Odie Spears","O. Spears"
"Bobby Wanzer","B. Wanzer"
"Al Lucas","Al Lucas"
"Ward Williams","W. Williams"
"Ray Ellefson","R. Ellefson"
"Harry Gallatin","H. Gallatin"
"Jim Browne","J. Browne"
"Dillard Crocker","D. Crocker"
"Arnie Ferrin","A. Ferrin"
"Donnie Forman","D. Forman"
"Tom Kelly","T. Kelly"
"Paul Napolitano","P. Napolitano"
"Otto Schnellbacher","O. Schnellbacher"
"Jack Eskridge","J. Eskridge"
"Jack Maddox","J. Maddox"
"Bill Miller","B. Miller"
"Ray Ramsey","R. Ramsey"
"Jack Nichols","J. Nichols"
"Bill Henry","B. Henry"
"Jim Springer","J. Springer"
"Bob Brown","B. Brown"
"George Kaftan","G. Kaftan"
"Dermie O'Connell","D. O'Connell"
"Doug Holcomb","D. Holcomb"
"Joe Colone","J. Colone"
"Jim Spruill","J. Spruill"
"Jake Bornheimer","J. Bornheimer"
"Gene James","G. James"
"Ed Bartels","Ed Bartels"
"Gene Berce","G. Berce"
"Jack Cotton","J. Cotton"
"Earl Dodd","E. Dodd"
"Dike Eddleman","D. Eddleman"
"Dee Gibson","D. Gibson"
"Al Guokas","Al Guokas"
"Billy Hassett","B. Hassett"
"Jack Kerris","J. Kerris"
"Duane Klueh","D. Klueh"
"Don Otten","D. Otten"
"Mac Otten","M. Otten"
"Red Owens","R. Owens"
"Warren Perkins","W. Perkins"
"Don Ray","D. Ray"
"Bob Royer","B. Royer"
"Whitey Von Nieda","W. Nieda"
"Murray Wier","M. Wier"
"Cliff Barker","C. Barker"
"Leo Barnhorst","L. Barnhorst"
"Ralph Beard","R. Beard"
"Vince Boryla","V. Boryla"
"Joe Bradley","J. Bradley"
"Bob Brannum","B. Brannum"
"Jack Burmaster","J. Burmaster"
"Jack Coleman","J. Coleman"
"Bobby Cook","B. Cook"
"Harry Donovan","H. Donovan"
"Bob Evans","B. Evans"
"Don Grate","D. Grate"
"Alex Groza","A. Groza"
"Marshall Hawkins","M. Hawkins"
"Joe Holland","J. Holland"
"Wah Wah Jones","W. Jones"
"Frank Kudelka","F. Kudelka"
"Walt Lautenbach","W. Lautenbach"
"Ed Macauley","Ed Macauley"
"Dick McGuire","D. McGuire"
"Mal McMullen","M. McMullen"
"Max Morris","M. Morris"
"Jack Parkinson","J. Parkinson"
"Pep Saul","P. Saul"
"Carl Shaeffer","C. Shaeffer"
"Chips Sobek","C. Sobek"
"Mike Todorovich","M. Todorovich"
"Floyd Volker","F. Volker"
"Danny Wagner","D. Wagner"
"Bob Wood","B. Wood"
"Nelson Bobb","N. Bobb"
"Don Boven","D. Boven"
"Harry Boykoff","H. Boykoff"
"Joe Dolhon","J. Dolhon"
"Vern Gardner","V. Gardner"
"Normie Glick","N. Glick"
"Paul Gordon","P. Gordon"
"Dale Hamilton","D. Hamilton"
"Bob Harrison","B. Harrison"
"Leo Kubiak","L. Kubiak"
"Ron Livingstone","R. Livingstone"
"Slater Martin","S. Martin"
"Dick Mehen","D. Mehen"
"Vern Mikkelsen","V. Mikkelsen"
"Al Miksis","Al Miksis"
"Jim Nolan","J. Nolan"
"Gene Ollrich","G. Ollrich"
"Stan Patrick","S. Patrick"
"Johnny Payak","J. Payak"
"Jack Phelan","J. Phelan"
"Marv Schatzman","M. Schatzman"
"Wayne See","W. See"
"Charley Shipp","C. Shipp"
"Paul Walther","P. Walther"
"Frankie Brian","F. Brian"
"Bob Carpenter","B. Carpenter"
"Al Cervi","Al Cervi"
"Leroy Chollet","L. Chollet"
"Bill Closs","B. Closs"
"Ray Corley","R. Corley"
"Bill Gabor","B. Gabor"
"Frank Gates","F. Gates"
"Hoot Gibson","H. Gibson"
"Alex Hannum","A. Hannum"
"John Hargis","J. Hargis"
"Bob Harris","B. Harris"
"Ralph Johnson","R. Johnson"
"Milo Komenich","M. Komenich"
"Ed Leede","Ed Leede"
"Johnny Macknowski","J. Macknowski"
"Murray Mitchell","M. Mitchell"
"Jerry Nagel","J. Nagel"
"John Oldham","J. Oldham"
"Ed Peterson","Ed Peterson"
"George Ratkovicz","G. Ratkovicz"
"Fred Schaus","F. Schaus"
"Dolph Schayes","D. Schayes"
"Howie Schultz","H. Schultz"
"Rollie Seltz","R. Seltz"
"Ed Stanczak","Ed Stanczak"
"Clint Wager","C. Wager"
"Robert Hahn","R. Hahn"
"John Pritchard","J. Pritchard"
"John Chaney","J. Chaney"
"Joe Mullaney","J. Mullaney"
"Ernie Vandeweghe","E. Vandeweghe"
"Paul Cloyd","P. Cloyd"
"Johnny Orr","J. Orr"
"Glen Selbo","G. Selbo"
"Tony Lavelli","T. Lavelli"
"Matt Mazza","M. Mazza"
"Jake Carter","J. Carter"
"Jimmy Darden","J. Darden"
"Gene Englund","G. Englund"
"Charlie Parsley","C. Parsley"
"George Feigenbaum","G. Feigenbaum"
"Hook Dillon","H. Dillon"
"Bud Grant","B. Grant"
"Howie Janotta","H. Janotta"
"Andy O'Donnell","A. O'Donnell"
"Ken Menke","K. Menke"
"Bill Herman","B. Herman"
"Earl Lloyd","E. Lloyd"
"Joe McNamee","J. McNamee"
"Alan Sawyer","A. Sawyer"
"Dick Schnittker","D. Schnittker"
"Bill Sharman","B. Sharman"
"Ed Beach","Ed Beach"
"Art Burris","A. Burris"
"Chuck Cooper","C. Cooper"
"Bob Cousy","B. Cousy"
"Bob Donham","B. Donham"
"Larry Foust","L. Foust"
"Joe Hutton","J. Hutton"
"Bob Lavoy","B. Lavoy"
"Norm Mager","N. Mager"
"Chuck Mrazovich","C. Mrazovich"
"Ken Murray","K. Murray"
"Kevin O'Shea","K. O'Shea"
"Don Rehfeldt","D. Rehfeldt"
"Jim Riffey","J. Riffey"
"Gerry Calabrese","G. Calabrese"
"Cal Christensen","C. Christensen"
"Ed Gayda","Ed Gayda"
"Don Lofgran","D. Lofgran"
"Paul Arizin","P. Arizin"
