"nba clutch_poy","Clutch Player of the Year","Clutch Player","CPOY"
"nba dpoy","NBA DPOY","Defensive Player of the Year","DPOY"
"nba mip","NBA MIP","Most Improved Player","MIP"
"nba mvp","NBA MVP","Most Valuable Player","MVP"
"nba roy","NBA Rookie of the Year","ROY","Rookie of the Year"
"nba smoy","NBA Sixth Man of the Year","Sixth Man of the Year","SMOY","6MOY"
"aba mvp","ABA MVP","ABA Most Valuable Player"
"aba roy","ABA Rookie of the Year","ABA ROY"
"baa roy","BAA Rookie of the Year","BAA ROY"
